"SPECIES_NAME","ID_PLACE","year","count","effort_h"
"a",1,2005,4,1.89719592477195
"b",1,2005,5,4.90561329666525
"c",1,2005,7,5.28764067939483
"a",2,2005,6,3.29322643834166
"b",2,2005,0,4.53102832217701
"c",2,2005,3,4.39833884965628
"a",3,2005,2,2.70418322668411
"b",3,2005,7,1.06421908154152
"c",3,2005,4,3.37865514238365
"a",4,2005,10,4.84097186732106
"b",4,2005,10,2.40603604028001
"c",4,2005,1,4.04266224615276
"a",5,2005,3,4.46611974644475
"b",5,2005,5,2.64370199199766
"c",5,2005,7,4.59684572322294
"a",6,2005,11,5.19720452511683
"b",6,2005,5,2.77100117900409
"c",6,2005,6,1.35880342242308
"a",7,2005,5,2.91284002969041
"b",7,2005,3,4.34667285787873
"c",7,2005,4,1.65428236848675
"a",8,2005,4,4.50197952007875
"b",8,2005,4,1.67735004937276
"c",8,2005,4,2.63312279270031
"a",9,2005,3,5.32684596278705
"b",9,2005,4,2.66546139167622
"c",9,2005,5,1.51048106281087
"a",10,2005,5,2.44454901805148
"b",10,2005,3,2.46450702566653
"c",10,2005,5,4.02100124536082
"a",11,2005,7,5.04209241853096
"b",11,2005,6,4.88129226514138
"c",11,2005,5,4.71190033620223
"a",12,2005,8,4.87476267409511
"b",12,2005,2,5.67989280587062
"c",12,2005,2,5.63129646726884
"a",13,2005,3,1.04312430857681
"b",13,2005,5,5.29558027884923
"c",13,2005,6,4.96463267388754
"a",14,2005,2,2.098239030689
"b",14,2005,3,3.83599657122977
"c",14,2005,7,4.33741159993224
"a",15,2005,6,3.2750440845266
"b",15,2005,3,1.43427758617327
"c",15,2005,3,1.07530085043982
"a",16,2005,4,2.60437150858343
"b",16,2005,1,5.61405592854135
"c",16,2005,6,5.87075516371988
"a",17,2005,7,1.93654841883108
"b",17,2005,4,3.17284672893584
"c",17,2005,3,1.46015017200261
"a",18,2005,2,4.12039114185609
"b",18,2005,3,3.82150844926946
"c",18,2005,3,2.49254358140752
"a",19,2005,0,3.48264500871301
"b",19,2005,2,3.34716068371199
"c",19,2005,1,4.92015802906826
"a",20,2005,9,3.24076334154233
"b",20,2005,6,2.27390781301074
"c",20,2005,9,5.07348293578252
"a",21,2005,6,5.4473394122906
"b",21,2005,7,1.65041835652664
"c",21,2005,3,3.61667846469209
"a",22,2005,6,1.13964902609587
"b",22,2005,8,5.28655417752452
"c",22,2005,5,4.47710044239648
"a",23,2005,7,3.00773330871016
"b",23,2005,5,3.51316756708547
"c",23,2005,4,3.31342481798492
"a",24,2005,6,3.25527519593015
"b",24,2005,8,2.00426847464405
"c",24,2005,8,3.41294699953869
"a",25,2005,5,1.31435147160664
"b",25,2005,3,2.87011862639338
"c",25,2005,5,5.84401190537028
"a",26,2005,5,2.74505705945194
"b",26,2005,6,3.40940568386577
